symbol,side,entry_price,entry_time,stop_price,vwap,shares,or_high,or_low,or_range,or_in_atr,base_range,atr,stop_distance,r_amount,target_r1,target_r2,exit_price,exit_reason,pnl,r_multiple,date,logged_at
SYMBOL,SHORT,232.88999938964844,10:05:00,233.855285759226,233.77298137690178,258,235.11000061035156,232.88999938964844,2.220001220703125,2.697306216281355,1.4900054931640625,0.8230438232421875,0.9652863695775693,0.9652863695775693,230.9594266504933,229.99414028091573,233.855285759226,STOP_LOSS,-249.04388335101288,-1.0,2025-08-14,2025-11-07T00:32:12.950130
SYMBOL,SHORT,232.9425048828125,09:45:00,233.51749799296763,233.45464802174135,434,234.22140502929688,232.9425048828125,1.278900146484375,2.0348460333893463,1.6899871826171875,0.6284997122628349,0.574993110155134,0.574993110155134,231.79251866250223,231.2175255523471,233.51749799296763,STOP_LOSS,-249.54700980732815,-1.0,2025-08-15,2025-11-07T00:32:12.954353
SYMBOL,LONG,232.4600067138672,09:45:00,231.88842329683897,231.96549903710823,437,232.4600067138672,231.33999633789062,1.1200103759765625,1.453129573668678,1.3899993896484375,0.7707574026925224,0.5715834170282221,0.5715834170282221,233.60317354792363,234.17475696495185,231.88842329683897,STOP_LOSS,-249.78195324133307,-1.0,2025-08-18,2025-11-07T00:32:12.958404
SYMBOL,LONG,231.5800018310547,09:45:00,231.06676073026833,231.12999860171084,487,231.5800018310547,230.58999633789062,0.9900054931640625,1.5655262749694077,1.4550018310546875,0.6323787144252232,0.5132411007863595,0.5132411007863595,232.6064840326274,233.11972513341377,231.06676073026833,STOP_LOSS,-249.9484160829571,-1.0,2025-08-19,2025-11-07T00:32:12.962230
SYMBOL,SHORT,227.35000610351562,09:45:00,228.58680661050954,228.50112240640797,202,230.4698944091797,227.35000610351562,3.1198883056640625,3.64114755849984,1.489990234375,0.856842041015625,1.2368005069939159,1.2368005069939159,224.8764050895278,223.63960458253388,228.58680661050954,STOP_LOSS,-249.833702412771,-1.0,2025-08-20,2025-11-07T00:32:12.966944
SYMBOL,SHORT,224.67999267578125,11:10:00,225.60639470175747,225.54066212729458,269,226.52000427246094,224.67999267578125,1.8400115966796875,2.7992385993012756,1.6500091552734375,0.6573257446289062,0.9264020259762162,0.9264020259762162,222.82718862382882,221.9007865978526,225.60639470175747,STOP_LOSS,-249.20214498760217,-1.0,2025-08-21,2025-11-07T00:32:12.970911
SYMBOL,LONG,226.9600067138672,09:45:00,226.11062945470948,226.19508652519636,294,226.9600067138672,225.41000366210938,1.5500030517578125,1.8352555242825819,1.57550048828125,0.8445707048688617,0.8493772591577056,0.8493772591577056,228.6587612321826,229.5081384913403,226.11062945470948,STOP_LOSS,-249.71691419236544,-1.0,2025-08-22,2025-11-07T00:32:12.974675
SYMBOL,LONG,227.3800048828125,09:45:00,227.25122142609504,227.31739999316397,1941,227.3800048828125,226.24000549316406,1.1399993896484375,1.7226111717729675,2.0250091552734375,0.6617856706891742,0.12878345671745706,0.12878345671745706,227.6375717962474,227.76635525296487,227.25122142609504,STOP_LOSS,-249.96868948858415,-1.0,2025-08-25,2025-11-07T00:32:12.978447
SYMBOL,LONG,227.0500030517578,10:55:00,225.88111869391355,225.94057478347827,213,227.0500030517578,225.69000244140625,1.3600006103515625,2.287403393509217,1.9199981689453125,0.5945608956473214,1.168884357844263,1.168884357844263,229.38777176744634,230.5566561252906,225.88111869391355,STOP_LOSS,-248.972368220828,-1.0,2025-08-26,2025-11-07T00:32:12.982297
SYMBOL,LONG,230.25,10:30:00,229.40802446605645,229.4712131823999,296,230.25,228.2949981689453,1.9550018310546875,3.093909710759126,1.5,0.6318871634347099,0.841975533943554,0.841975533943554,231.9339510678871,232.77592660183066,229.40802446605645,STOP_LOSS,-249.22475804729197,-1.0,2025-08-27,2025-11-07T00:32:12.986036
