symbol,side,entry_price,entry_time,stop_price,vwap,shares,or_high,or_low,or_range,or_in_atr,base_high,base_low,base_range,atr,stop_distance,r_amount,target_r1,target_r2,exit_price,exit_reason,pnl,r_multiple,date,logged_at
SYMBOL,LONG,231.5800018310547,09:45:00,230.40028272356307,231.12999860171084,211,231.5800018310547,230.58999633789062,0.9900054931640625,1.5655262749694077,232.0449981689453,230.58999633789062,1.4550018310546875,0.6323787144252232,1.1797191074916213,1.1797191074916213,233.93944004603793,235.11915915352955,230.40028272356307,STOP_LOSS,-248.9207316807321,-1.0,2025-08-19,2025-11-11T14:31:39.194326
SYMBOL,LONG,226.9600067138672,09:45:00,225.15663245064871,226.19508652519636,138,226.9600067138672,225.41000366210938,1.5500030517578125,1.8352555242825819,226.98550415039062,225.41000366210938,1.57550048828125,0.8445707048688617,1.8033742632184726,1.8033742632184726,230.56675524030413,232.3701295035226,227.75,EOD_FLATTEN,109.01907348632812,0.4380639683317403,2025-08-22,2025-11-11T14:31:39.208142
SYMBOL,LONG,227.3800048828125,09:45:00,227.2181321425606,227.31739999316397,1544,227.3800048828125,226.24000549316406,1.1399993896484375,1.7226111717729675,228.5850067138672,226.55999755859375,2.0250091552734375,0.6617856706891742,0.16187274025190845,0.16187274025190845,227.70375036331632,227.86562310356823,227.2181321425606,STOP_LOSS,-249.93151094894665,-1.0,2025-08-25,2025-11-11T14:31:39.212127
SYMBOL,LONG,230.85000610351562,10:10:00,229.89356929234097,230.3213565172363,261,230.85000610351562,229.3350067138672,1.5149993896484375,2.577534573748058,230.8800048828125,230.0699005126953,0.8101043701171875,0.5877707345145089,0.9564368111746546,0.9564368111746546,232.76287972586493,233.7193165370396,229.89356929234097,STOP_LOSS,-249.63000771658486,-1.0,2025-08-28,2025-11-11T14:31:39.223354
SYMBOL,SHORT,231.8300018310547,10:05:00,233.21253258841378,232.47973349542988,180,233.36129760742188,231.8300018310547,1.5312957763671875,2.064417065232564,232.99000549316406,231.8300018310547,1.160003662109375,0.7417569841657367,1.382530757359092,1.382530757359092,229.0649403163365,227.6824095589774,233.21253258841378,STOP_LOSS,-248.85553632463655,-1.0,2025-08-29,2025-11-11T14:31:39.227635
SYMBOL,SHORT,234.91659545898438,09:45:00,236.2483079092843,235.85945501490343,187,237.97000122070312,234.91659545898438,3.05340576171875,3.177308117610366,235.9600067138672,234.3699951171875,1.5900115966796875,0.9610039847237724,1.331712450299932,1.331712450299932,232.2531705583845,230.92145810808458,236.2483079092843,STOP_LOSS,-249.0302282060873,-1.0,2025-09-03,2025-11-11T14:31:39.235086
SYMBOL,LONG,240.6199951171875,09:50:00,239.15726405552456,239.99375426362636,170,240.6199951171875,239.17999267578125,1.44000244140625,1.6442506334533038,240.61000061035156,239.4199981689453,1.19000244140625,0.8757803780691964,1.4627310616629359,1.4627310616629359,243.54545724051337,245.0081883021763,239.15726405552456,STOP_LOSS,-248.6642804826991,-1.0,2025-09-05,2025-11-11T14:31:39.242787
SYMBOL,SHORT,229.69000244140625,09:45:00,231.11793485369,230.41446954819742,175,232.33999633789062,229.69000244140625,2.649993896484375,2.761052420000477,230.8300018310547,228.83999633789062,1.9900054931640625,0.9597767421177456,1.4279324122837522,1.4279324122837522,226.83413761683875,225.406205204555,231.11793485369,STOP_LOSS,-249.88817214965664,-1.0,2025-09-10,2025-11-11T14:31:39.254031
SYMBOL,LONG,230.94000244140625,09:55:00,228.7602707999093,230.1712132788261,114,230.94000244140625,229.19000244140625,1.75,2.02130281800958,230.4510040283203,229.02000427246094,1.430999755859375,0.8657782418387276,2.179731641496943,2.179731641496943,235.29946572440014,237.47919736589708,234.05999755859375,EOD_FLATTEN,355.679443359375,1.4313666222897172,2025-09-12,2025-11-11T14:31:39.263131
SYMBOL,SHORT,236.77999877929688,09:45:00,237.04296912486518,236.9430497784645,950,238.19000244140625,236.77999877929688,1.410003662109375,2.116712698142597,238.19000244140625,235.0727996826172,3.1172027587890625,0.6661289760044643,0.2629703455683057,0.2629703455683057,236.25405808816026,235.99108774259196,237.04296912486518,STOP_LOSS,-249.8218282898904,-1.0,2025-09-15,2025-11-11T14:31:39.266900
SYMBOL,LONG,237.92999267578125,09:45:00,237.527069823301,237.6603585065111,620,237.92999267578125,236.32350158691406,1.6064910888671875,1.807907899804486,239.14999389648438,236.32350158691406,2.8264923095703125,0.8885912214006696,0.40292285248025905,0.40292285248025905,238.73583838074177,239.13876123322203,237.527069823301,STOP_LOSS,-249.8121685377606,-1.0,2025-09-16,2025-11-11T14:31:39.274758
SYMBOL,SHORT,238.9499969482422,09:45:00,239.46631204001702,239.34415976602148,484,241.1999969482422,238.9499969482422,2.25,2.7629448798663754,239.77000427246094,237.6300048828125,2.1399993896484375,0.8143484933035714,0.5163150917748283,0.5163150917748283,237.91736676469253,237.4010516729177,239.46631204001702,STOP_LOSS,-249.89650441901688,-1.0,2025-09-18,2025-11-11T14:31:39.282377
SYMBOL,SHORT,255.7899932861328,09:45:00,257.5708243233817,256.4393767772136,140,257.3399963378906,255.7899932861328,1.5500030517578125,2.0144910702144054,257.3399963378906,255.27999877929688,2.05999755859375,0.7694266183035714,1.7808310372489018,1.7808310372489018,252.228331211635,250.4475001743861,254.52999877929688,EOD_FLATTEN,176.39923095703125,0.7075317537043979,2025-09-23,2025-11-11T14:31:39.296481
