symbol,date,direction,gap_pct,entry_time,entry_price,stop_price,target_r1,target_r2,shares,risk_dollars,ema_level,candles_to_entry,exit_reason,exit_price,exit_time,pnl,r_multiple,held_candles,hit_r1,logged_at,strategy
HUT,2025-10-06,LONG,3.59,2025-10-06 09:55:00-04:00,41.42,41.01,42.03,42.64,615,249.72,EMA9,5,STOP_BE,41.713992969037946,2025-10-06 10:55:00-04:00,277.54,1.11,12,True,2025-12-26T12:18:04.024526,FPB
HUT,2025-10-13,LONG,5.26,2025-10-13 09:50:00-04:00,45.49,44.18,47.46,49.43,190,249.7,EMA9,4,STOP_BE,46.82977140052415,2025-10-13 10:50:00-04:00,314.55,1.26,12,True,2025-12-26T12:18:04.037612,FPB
HUT,2025-10-17,SHORT,-4.91,2025-10-17 09:55:00-04:00,47.97,48.77,46.77,45.57,313,250.0,EMA9,5,STOP_BE,47.20252713847414,2025-10-17 10:40:00-04:00,307.39,1.23,9,True,2025-12-26T12:18:04.048636,FPB
HUT,2025-10-30,SHORT,-6.22,2025-10-30 10:00:00-04:00,49.56,49.94,48.99,48.42,658,249.97,EMA9,6,STOP,49.939889389038086,2025-10-30 10:05:00-04:00,-249.97,-1.0,1,False,2025-12-26T12:18:04.071470,FPB
HUT,2025-10-31,LONG,4.16,2025-10-31 09:40:00-04:00,50.9,49.81,52.54,54.18,229,249.68,EMA9,2,STOP_BE,51.83610142786425,2025-10-31 11:30:00-04:00,293.52,1.18,22,True,2025-12-26T12:18:04.075520,FPB
HUT,2025-11-03,LONG,6.89,2025-11-03 09:45:00-05:00,53.4,52.13,55.3,57.2,197,249.89,EMA9,3,STOP,52.1278203048706,2025-11-03 10:20:00-05:00,-249.89,-1.0,7,False,2025-12-26T12:18:04.078530,FPB
HUT,2025-11-04,SHORT,-8.4,2025-11-04 10:00:00-05:00,50.37,52.17,47.67,44.96,138,248.69,EMA9,6,STOP,52.17211893081665,2025-11-04 10:20:00-05:00,-248.69,-1.0,4,False,2025-12-26T12:18:04.081991,FPB
HUT,2025-11-05,LONG,4.05,2025-11-05 09:45:00-05:00,49.67,48.62,51.24,52.82,238,249.58,EMA9,3,STOP_BE,50.30557994266095,2025-11-05 11:15:00-05:00,262.82,1.05,18,True,2025-12-26T12:18:04.085535,FPB
HUT,2025-11-07,SHORT,-3.97,2025-11-07 10:00:00-05:00,41.18,42.07,39.84,38.51,280,249.54,EMA9,6,STOP,42.072028778076174,2025-11-07 10:25:00-05:00,-249.54,-1.0,5,False,2025-12-26T12:18:04.091044,FPB
HUT,2025-11-10,LONG,5.3,2025-11-10 10:00:00-05:00,47.07,46.34,48.16,49.26,342,249.62,EMA9,6,STOP,46.340107324513546,2025-11-10 10:20:00-05:00,-249.62,-1.0,4,False,2025-12-26T12:18:04.094048,FPB
