symbol,date,direction,gap_pct,entry_time,entry_price,stop_price,target_r1,target_r2,shares,risk_dollars,ema_level,candles_to_entry,exit_reason,exit_price,exit_time,pnl,r_multiple,held_candles,hit_r1,logged_at,strategy
GOOGL,2025-10-30,LONG,5.97,2025-10-30 09:45:00-04:00,284.18,279.06,291.86,299.54,48,245.82,EMA9,3,EOD,289.4599914550781,2025-10-30 11:30:00-04:00,253.44,1.03,21,False,2026-01-01T21:49:56.591744,FPB
RKLB,2025-10-22,SHORT,-3.66,2025-10-22 10:00:00-04:00,63.13,63.96,61.88,60.63,299,249.34,EMA9,6,TARGET_R2,60.62829969024658,2025-10-22 10:30:00-04:00,561.63,2.25,6,True,2026-01-01T21:49:57.949691,FPB
RKLB,2025-11-04,SHORT,-5.77,2025-11-04 10:00:00-05:00,58.74,59.34,57.82,56.91,410,249.67,EMA9,6,STOP,59.34395496456141,2025-11-04 10:20:00-05:00,-249.67,-1.0,4,False,2026-01-01T21:49:58.011984,FPB
RKLB,2025-11-07,SHORT,-3.92,2025-11-07 10:00:00-05:00,46.73,47.67,45.32,43.91,266,249.66,EMA9,6,STOP,47.668579497297486,2025-11-07 10:15:00-05:00,-249.66,-1.0,3,False,2026-01-01T21:49:58.025466,FPB
RKLB,2025-11-10,LONG,4.07,2025-11-10 09:55:00-05:00,52.73,52.32,53.35,53.97,606,249.9,EMA9,5,STOP_BE,52.72999954223633,2025-11-10 10:10:00-05:00,187.42,0.75,3,True,2026-01-01T21:49:58.030893,FPB
RKLB,2025-11-14,SHORT,-3.49,2025-11-14 10:00:00-05:00,46.14,47.02,44.82,43.5,284,249.66,EMA9,6,STOP,47.016971221923825,2025-11-14 10:45:00-05:00,-249.66,-1.0,9,False,2026-01-01T21:49:58.057306,FPB
RKLB,2025-11-20,LONG,5.69,2025-11-20 09:55:00-05:00,44.9,44.73,45.16,45.42,1442,249.85,EMA9,5,TARGET_R2,45.41980007441765,2025-11-20 10:00:00-05:00,562.16,2.25,1,True,2026-01-01T21:49:58.073268,FPB
RKLB,2025-12-30,LONG,4.88,2025-12-30 09:40:00-05:00,72.32,71.13,74.1,75.88,210,249.71,EMA9,2,STOP,71.12589639729075,2025-12-30 10:00:00-05:00,-249.71,-1.0,4,False,2026-01-01T21:49:58.145466,FPB
AFRM,2025-11-04,SHORT,-3.62,2025-11-04 10:00:00-05:00,72.1,72.49,71.5,70.9,629,249.98,EMA9,6,STOP_BE,71.82681207619768,2025-11-04 10:10:00-05:00,271.66,1.09,2,True,2026-01-01T21:49:58.499628,FPB
AFRM,2025-11-14,SHORT,-4.48,2025-11-14 10:00:00-05:00,71.98,73.03,70.41,68.84,238,249.41,EMA9,6,STOP,73.02795683288574,2025-11-14 10:45:00-05:00,-249.41,-1.0,9,False,2026-01-01T21:49:58.519144,FPB
AFRM,2025-11-20,LONG,3.52,2025-11-20 09:55:00-05:00,66.66,66.37,67.09,67.52,872,249.78,EMA9,5,TARGET_R2,67.51932733154298,2025-11-20 10:20:00-05:00,562.0,2.25,5,True,2026-01-01T21:49:58.530373,FPB
AFRM,2025-12-18,LONG,3.61,2025-12-18 09:50:00-05:00,75.17,73.8,77.22,79.27,182,249.13,EMA9,4,STOP_BE,77.44779538066896,2025-12-18 11:20:00-05:00,394.58,1.58,18,True,2026-01-01T21:49:58.576290,FPB
AMD,2025-11-04,SHORT,-3.59,2025-11-04 10:00:00-05:00,255.46,256.25,254.27,253.08,316,249.92,EMA9,6,STOP_BE,255.37432725275576,2025-11-04 10:15:00-05:00,200.19,0.8,3,True,2026-01-01T21:49:59.870581,FPB
AMD,2025-11-20,LONG,4.07,2025-11-20 10:00:00-05:00,230.69,228.54,233.92,237.15,116,249.91,EMA9,6,STOP,228.53562962835042,2025-11-20 10:05:00-05:00,-249.91,-1.0,1,False,2026-01-01T21:49:59.900024,FPB
AMD,2025-12-22,LONG,3.04,2025-12-22 09:50:00-05:00,215.83,214.09,218.45,221.06,143,249.08,EMA9,4,STOP,214.09068768310547,2025-12-22 10:00:00-05:00,-249.08,-1.0,2,False,2026-01-01T21:49:59.949500,FPB
